  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1976, 10,   28048, 1976.7896,   329.66,   333.21,     330.96,   334.45,     329.66,   333.21
1976, 11,   28079, 1976.8743,   333.53,   333.41,     334.70,   334.54,     333.53,   333.41
1976, 12,   28109, 1976.9563,   337.70,   335.08,     337.27,   334.63,     337.70,   335.08
1977, 01,   28140, 1977.0411,   338.07,   334.31,     338.50,   334.72,     338.07,   334.31
1977, 02,   28171, 1977.1260,   337.28,   332.98,     339.14,   334.83,     337.28,   332.98
1977, 03,   28199, 1977.2027,   337.94,   333.40,     339.47,   334.93,     337.94,   333.40
1977, 04,   28230, 1977.2877,      NaN,      NaN,     339.46,   335.05,     339.46,   335.05
1977, 05,   28260, 1977.3699,   340.39,   335.64,     339.91,   335.17,     340.39,   335.64
1977, 06,   28291, 1977.4548,   337.95,   335.50,     337.67,   335.30,     337.95,   335.50
1977, 07,   28321, 1977.5370,      NaN,      NaN,     330.60,   335.42,     330.60,   335.42
1977, 08,   28352, 1977.6219,   326.31,   336.43,     325.41,   335.55,     326.31,   336.43
1977, 09,   28383, 1977.7068,   326.78,   334.94,     327.60,   335.68,     326.78,   334.94
1977, 10,   28413, 1977.7890,   332.93,   336.54,     332.27,   335.81,     332.93,   336.54
1977, 11,   28444, 1977.8740,   334.97,   334.87,     336.09,   335.93,     334.97,   334.87
1977, 12,   28474, 1977.9562,   339.65,   337.01,     338.72,   336.06,     339.65,   337.01
1978, 01,   28505, 1978.0411,   339.24,   335.45,     339.98,   336.18,     339.24,   335.45
1978, 02,   28536, 1978.1260,   340.66,   336.33,     340.65,   336.31,     340.66,   336.33
1978, 03,   28564, 1978.2027,   342.76,   338.19,     340.99,   336.42,     342.76,   338.19
1978, 04,   28595, 1978.2877,      NaN,      NaN,     340.98,   336.54,     340.98,   336.54
1978, 05,   28625, 1978.3699,      NaN,      NaN,     341.43,   336.65,     341.43,   336.65
1978, 06,   28656, 1978.4548,      NaN,      NaN,     339.15,   336.77,     339.15,   336.77
1978, 07,   28686, 1978.5370,      NaN,      NaN,     332.02,   336.88,     332.02,   336.88
1978, 08,   28717, 1978.6219,      NaN,      NaN,     326.77,   336.99,     326.77,   336.99
1978, 09,   28748, 1978.7068,      NaN,      NaN,     328.96,   337.10,     328.96,   337.10
1978, 10,   28778, 1978.7890,      NaN,      NaN,     333.64,   337.20,     333.64,   337.20
1978, 11,   28809, 1978.8740,   339.43,   339.33,     337.47,   337.31,     339.43,   339.33
1978, 12,   28839, 1978.9562,   339.35,   336.70,     340.10,   337.42,     339.35,   336.70
1979, 01,   28870, 1979.0411,   340.59,   336.77,     341.35,   337.52,     340.59,   336.77
1979, 02,   28901, 1979.1260,   341.57,   337.20,     342.00,   337.63,     341.57,   337.20
1979, 03,   28929, 1979.2027,   343.30,   338.69,     342.33,   337.73,     343.30,   338.69
1979, 04,   28960, 1979.2877,   342.54,   338.06,     342.31,   337.84,     342.54,   338.06
1979, 05,   28990, 1979.3699,   343.45,   338.64,     342.75,   337.95,     343.45,   338.64
1979, 06,   29021, 1979.4548,   342.85,   340.37,     340.46,   338.06,     342.85,   340.37
1979, 07,   29051, 1979.5370,   331.75,   336.51,     333.28,   338.17,     331.75,   336.51
1979, 08,   29082, 1979.6219,   324.74,   335.00,     328.01,   338.30,     324.74,   335.00
1979, 09,   29113, 1979.7068,   329.14,   337.41,     330.24,   338.44,     329.14,   337.41
1979, 10,   29143, 1979.7890,   333.62,   337.28,     334.99,   338.58,     333.62,   337.28
1979, 11,   29174, 1979.8740,   337.57,   337.47,     338.89,   338.74,     337.57,   337.47
1979, 12,   29204, 1979.9562,   342.18,   339.51,     341.60,   338.91,     342.18,   339.51
1980, 01,   29235, 1980.0410,   341.69,   337.85,     342.93,   339.08,     341.69,   337.85
1980, 02,   29266, 1980.1257,   343.34,   338.94,     343.67,   339.27,     343.34,   338.94
1980, 03,   29295, 1980.2049,   344.26,   339.63,     344.07,   339.44,     344.26,   339.63
1980, 04,   29326, 1980.2896,      NaN,      NaN,     344.13,   339.63,     344.13,   339.63
1980, 05,   29356, 1980.3716,   344.00,   339.16,     344.64,   339.80,     344.00,   339.16
1980, 06,   29387, 1980.4563,   342.73,   340.32,     342.30,   339.98,     342.73,   340.32
1980, 07,   29417, 1980.5383,   336.84,   341.76,     335.09,   340.14,     336.84,   341.76
1980, 08,   29448, 1980.6230,   331.76,   342.11,     329.92,   340.30,     331.76,   342.11
1980, 09,   29479, 1980.7077,   332.34,   340.62,     332.23,   340.44,     332.34,   340.62
1980, 10,   29509, 1980.7896,   337.58,   341.23,     336.98,   340.57,     337.58,   341.23
1980, 11,   29540, 1980.8743,   341.63,   341.51,     340.85,   340.68,     341.63,   341.51
1980, 12,   29570, 1980.9563,   344.74,   342.05,     343.51,   340.79,     344.74,   342.05
1981, 01,   29601, 1981.0411,   344.78,   340.91,     344.76,   340.89,     344.78,   340.91
1981, 02,   29632, 1981.1260,   344.42,   339.99,     345.41,   340.98,     344.42,   339.99
1981, 03,   29660, 1981.2027,   344.63,   339.96,     345.73,   341.06,     344.63,   339.96
1981, 04,   29691, 1981.2877,   346.13,   341.60,     345.69,   341.15,     346.13,   341.60
1981, 05,   29721, 1981.3699,   346.27,   341.40,     346.12,   341.24,     346.27,   341.40
1981, 06,   29752, 1981.4548,   344.00,   341.48,     343.77,   341.33,     344.00,   341.48
1981, 07,   29782, 1981.5370,   335.36,   340.19,     336.47,   341.43,     335.36,   340.19
1981, 08,   29813, 1981.6219,   330.19,   340.59,     331.10,   341.53,     330.19,   340.59
1981, 09,   29844, 1981.7068,   333.30,   341.68,     333.33,   341.63,     333.30,   341.68
1981, 10,   29874, 1981.7890,   338.25,   341.95,     338.10,   341.74,     338.25,   341.95
1981, 11,   29905, 1981.8740,   341.30,   341.20,     342.01,   341.85,     341.30,   341.20
1981, 12,   29935, 1981.9562,   344.07,   341.36,     344.70,   341.96,     344.07,   341.36
1982, 01,   29966, 1982.0411,   345.81,   341.91,     345.98,   342.07,     345.81,   341.91
1982, 02,   29997, 1982.1260,   347.87,   343.41,     346.65,   342.18,     347.87,   343.41
1982, 03,   30025, 1982.2027,   347.53,   342.83,     346.97,   342.27,     347.53,   342.83
1982, 04,   30056, 1982.2877,   347.46,   342.90,     346.92,   342.36,     347.46,   342.90
1982, 05,   30086, 1982.3699,   347.50,   342.60,     347.35,   342.44,     347.50,   342.60
1982, 06,   30117, 1982.4548,   345.83,   343.29,     344.96,   342.51,     345.83,   343.29
1982, 07,   30147, 1982.5370,   339.35,   344.21,     337.58,   342.58,     339.35,   344.21
1982, 08,   30178, 1982.6219,   331.81,   342.29,     332.14,   342.64,     331.81,   342.29
1982, 09,   30209, 1982.7068,   332.81,   341.25,     334.35,   342.72,     332.81,   341.25
1982, 10,   30239, 1982.7890,   338.49,   342.23,     339.13,   342.80,     338.49,   342.23
1982, 11,   30270, 1982.8740,   342.67,   342.56,     343.05,   342.89,     342.67,   342.56
1982, 12,   30300, 1982.9562,   345.02,   342.30,     345.76,   343.01,     345.02,   342.30
1983, 01,   30331, 1983.0411,   346.81,   342.89,     347.07,   343.14,     346.81,   342.89
1983, 02,   30362, 1983.1260,   346.81,   342.33,     347.78,   343.29,     346.81,   342.33
1983, 03,   30390, 1983.2027,   347.75,   343.01,     348.16,   343.43,     347.75,   343.01
1983, 04,   30421, 1983.2877,   347.95,   343.35,     348.20,   343.61,     347.95,   343.35
