"","Yr","Mn","station","CO2_concentration","hemisphere"
"143",1961,"Sep","kum",NA,"northern"
"144",1961,"Sep","chr",NA,"northern"
"145",1961,"Sep","sam",NA,"southern"
"146",1961,"Sep","ker",NA,"southern"
"147",1961,"Sep","nzd",NA,"southern"
"148",1961,"Oct","alt",NA,"northern"
"149",1961,"Oct","mlo",314.91,"northern"
"150",1961,"Oct","kum",NA,"northern"
"151",1961,"Oct","chr",NA,"northern"
"152",1961,"Oct","sam",NA,"southern"
"153",1961,"Oct","ker",NA,"southern"
"154",1961,"Oct","nzd",NA,"southern"
"155",1961,"Nov","alt",NA,"northern"
"156",1961,"Nov","mlo",316.17,"northern"
"157",1961,"Nov","kum",NA,"northern"
"158",1961,"Nov","chr",NA,"northern"
"159",1961,"Nov","sam",NA,"southern"
"160",1961,"Nov","ker",NA,"southern"
"161",1961,"Nov","nzd",NA,"southern"
"162",1961,"Dec","alt",NA,"northern"
"163",1961,"Dec","mlo",318.14,"northern"
"164",1961,"Dec","kum",NA,"northern"
"165",1961,"Dec","chr",NA,"northern"
"166",1961,"Dec","sam",NA,"southern"
"167",1961,"Dec","ker",NA,"southern"
"168",1961,"Dec","nzd",NA,"southern"
"169",1962,"Jan","alt",NA,"northern"
"170",1962,"Jan","mlo",317.86,"northern"
"171",1962,"Jan","kum",NA,"northern"
"172",1962,"Jan","chr",NA,"northern"
"173",1962,"Jan","sam",NA,"southern"
"174",1962,"Jan","ker",NA,"southern"
"175",1962,"Jan","nzd",NA,"southern"
"176",1962,"Feb","alt",NA,"northern"
"177",1962,"Feb","mlo",318.35,"northern"
"178",1962,"Feb","kum",NA,"northern"
"179",1962,"Feb","chr",NA,"northern"
"180",1962,"Feb","sam",NA,"southern"
"181",1962,"Feb","ker",NA,"southern"
"182",1962,"Feb","nzd",NA,"southern"
"183",1962,"Mar","alt",NA,"northern"
"184",1962,"Mar","mlo",320.02,"northern"
"185",1962,"Mar","kum",NA,"northern"
"186",1962,"Mar","chr",NA,"northern"
"187",1962,"Mar","sam",NA,"southern"
"188",1962,"Mar","ker",NA,"southern"
"189",1962,"Mar","nzd",NA,"southern"
"190",1962,"Apr","alt",NA,"northern"
"191",1962,"Apr","mlo",320.29,"northern"
"192",1962,"Apr","kum",NA,"northern"
"193",1962,"Apr","chr",NA,"northern"
"194",1962,"Apr","sam",NA,"southern"
"195",1962,"Apr","ker",NA,"southern"
"196",1962,"Apr","nzd",NA,"southern"
"197",1962,"May","alt",NA,"northern"
"198",1962,"May","mlo",321.53,"northern"
"199",1962,"May","kum",NA,"northern"
"200",1962,"May","chr",NA,"northern"
"201",1962,"May","sam",NA,"southern"
"202",1962,"May","ker",NA,"southern"
"203",1962,"May","nzd",NA,"southern"
