"","Yr","station","CO2_concentration_ratio"
"210",1989,"nzd",1.00506427612423
"211",1990,"alt",NA
"212",1990,"mlo",1.00453099051043
"213",1990,"kum",1.00500449696543
"214",1990,"chr",1.00384174752958
"215",1990,"sam",1.00377871969201
"216",1990,"ker",1.00466439189446
"217",1990,"nzd",1.00381111636422
"218",1991,"alt",NA
"219",1991,"mlo",1.00324769239814
"220",1991,"kum",1.00320853856471
"221",1991,"chr",1.00256810519663
"222",1991,"sam",1.0041163828732
"223",1991,"ker",1.00347166261724
"224",1991,"nzd",1.0034641123461
"225",1992,"alt",NA
"226",1992,"mlo",1.00253395404659
"227",1992,"kum",1.00168810948128
"228",1992,"chr",1.00298204883393
"229",1992,"sam",1.00230964807267
"230",1992,"ker",1.00272378139445
"231",1992,"nzd",1.00397852917273
"232",1993,"alt",NA
"233",1993,"mlo",1.00159228594743
"234",1993,"kum",1.00219949231697
"235",1993,"chr",1.00359589215896
"236",1993,"sam",1.00250143727048
"237",1993,"ker",1.00325079418806
"238",1993,"nzd",1.0023037679195
"239",1994,"alt",NA
"240",1994,"mlo",1.00483462817017
"241",1994,"kum",1.00569540099868
"242",1994,"chr",1.00474564202978
"243",1994,"sam",1.00473759482797
"244",1994,"ker",1.00359119697361
"245",1994,"nzd",1.00395882000775
"246",1995,"alt",NA
"247",1995,"mlo",1.00560358145986
"248",1995,"kum",1.00515295367212
"249",1995,"chr",1.00459921156373
"250",1995,"sam",1.0054094980722
"251",1995,"ker",1.00551584617663
"252",1995,"nzd",1.00425142626231
"253",1996,"alt",NA
"254",1996,"mlo",1.00506640853319
"255",1996,"kum",1.00508270059133
"256",1996,"chr",1.00663075086926
"257",1996,"sam",1.00475244863486
"258",1996,"ker",1.00419652993989
"259",1996,"nzd",1.00535768509256
"260",1997,"alt",NA
"261",1997,"mlo",1.00311003024981
"262",1997,"kum",1.00347539448252
"263",1997,"chr",1.00159491974929
"264",1997,"sam",1.00288964019021
"265",1997,"ker",1.00358447089296
"266",1997,"nzd",1.00228378190578
"267",1998,"alt",NA
"268",1998,"mlo",1.00795147537678
"269",1998,"kum",1.00715318381875
"270",1998,"chr",1.00908762182593
"271",1998,"sam",1.00655826670438
"272",1998,"ker",1.00706138826577
"273",1998,"nzd",1.008095962187
"274",1999,"alt",NA
"275",1999,"mlo",1.00462867184854
"276",1999,"kum",1.0046607234115
"277",1999,"chr",1.00430759579696
"278",1999,"sam",1.00615457720979
